config,dataset,n_vertices,n_edges,allowed_colors,best_conflicts,best_colors_used,best_fitness_scalar,stopped_generation
tour + 1pt + reset,fpsol2.i.1.col,496,11654,80,19,80,19080.0,767
tour + uniform + reset,fpsol2.i.1.col,496,11654,80,14,79,14079.0,675
tour + 1pt + swap,fpsol2.i.1.col,496,11654,80,7,77,7077.0,880
roulette_rank + 1pt + reset,fpsol2.i.1.col,496,11654,80,23,80,23080.0,1003
roulette_rank + uniform + swap,fpsol2.i.1.col,496,11654,80,5,77,5077.0,601
roulette_rank + uniform + reset,fpsol2.i.1.col,496,11654,80,31,80,31080.0,655
